LocationID,SystemID,LocationName,Address,City,State,ZipCode,Phone
1,1,Advocate Christ Medical Center,4440 W 95th St,Oak Lawn,IL,60453,7086848000
3,1,Advocate Condell Medical Center,801 S Milwaukee Ave,Libertyville,IL,60048,8473622900
4,1,Advocate Good Samaritan Hospital,3815 Highland Ave,Downers Grove,IL,60515,6302755900
6,1,Adocate Good Shepherd,450 IL-22,Barrington,IL,60010,8473810123
8,1,Advocate Lutheran General Hospital,1775 Dempster St,Park Ridge,IL,60068,8477232210
9,1,Advocate Sherman Hospital,"1425 N Randall Rd ",Elgin,IL,60123,8477429800
10,1,Advocate South Suburban,17800 Kedzie Ave,Hazel Crest,IL,60429,7087998000
11,1,Advocate Trinity Hospital,2320 E 93rd St,Chicago,IL,60617,7739672000
13,1,Advocate Illinois Masonic,836 W Wellington Ave,Chicago,IL,60657,7739751600
14,2,Gottlieb Memorial Hospital,701 W North Ave,Melrose Park,IL,60160,7086813200
15,2,Loyola Universitiy Medical Center,"2160 South 1st Street ",Maywood,IL,60153,7082169000
16,2,MacNeal Hospital,3249 S Oak Park Avenue,Berwyn,IL,60402,7087839100
17,4,Northwestern Medicine Central Dupage Hospital,25 Winfield Rd,Winfield,IL,60190,6309331600
18,4,Northwestern Delnor Hospital,300 S Randall Rd,Geneva,IL,60134,6302083000
19,4,Northwestern Medicine Huntley Hospital,"NULL10400 Haligus Rd,",Huntley,IL,60142,2246540000
20,4,Northwestern Medicine Kishwaukee Hospital,1 Kish Hospital Dr,DeKalb,IL,60115,8157561521
21,4,"Northwestern Medicine Woodstock Hospital
",3701 Doty Rd,Woodstock,IL,60098,8153382500
22,4,Northwestern Medicine Lake Forest Hospital,1000 N Westmoreland Rd,Lake Forest,IL,60045,8472345600
23,4,"Northwestern Medicine Marianjoy Rehabilitation Hospital
",26w171 Roosevelt Rd,Wheaton,IL,60187,6309098000
24,4,Northwestern Medicine Valley West Hospital,1302 N Main St,Sandwich,IL,60548,8157868484
25,4,Northwestern Medicine Palos Hospital,12251 S 80th Ave,Palos Heights,IL,60463,7089234000
27,4,"Northwestern Memorial Hospital
",251 E Huron St,Chicago,IL,60611,3129262000
28,4,"Northwestern Medicine McHenry Hospital
",4201 Medical Centre Dr,McHenry,IL,60050,8153445000
29,5,RUSH Copley Medical Center,2000 Ogden Ave,Aurora,IL,60504,6309789200
30,5,RUSH Oak Park Hospital,520 S Maple Ave,Oak Park,IL,60304,7083839300
31,5,RUSH University Medical Center,1620 W Harrison St,Chicago,IL,60612,3129425000
32,6,UChicago Medicine Ingalls Memorial,1 Ingalls Dr,Harvey,IL,60426,8558263878
34,6,University of Chicago Hospital,5841 S Maryland Ave,Chicago,IL,60637,8888240200
